team,matches_played,wins,draws,losses,goals_scored,goals_conceded,total_goal_differential,points,dominant_wins,win_rate,draw_rate,loss_rate,avg_goal_diff,goals_scored_per_match,goals_conceded_per_match,points_per_match,dominant_win_rate
Kosovo,102,41,23,38,148,137,11,146,12,0.4019607843137255,0.22549019607843138,0.37254901960784315,0.10784313725490197,1.4509803921568627,1.3431372549019607,1.4313725490196079,0.11764705882352941
Republic of Ireland,630,241,178,211,851,768,83,901,67,0.3825396825396825,0.28253968253968254,0.3349206349206349,0.13174603174603175,1.3507936507936509,1.2190476190476192,1.4301587301587302,0.10634920634920635
Zimbabwe,494,189,139,166,659,589,70,706,44,0.3825910931174089,0.2813765182186235,0.3360323886639676,0.1417004048582996,1.334008097165992,1.1923076923076923,1.4291497975708503,0.08906882591093117
Solomon Islands,214,90,35,89,462,421,41,305,37,0.4205607476635514,0.16355140186915887,0.4158878504672897,0.19158878504672897,2.1588785046728973,1.9672897196261683,1.425233644859813,0.17289719626168223
New Zealand,414,172,73,169,729,619,110,589,69,0.41545893719806765,0.17632850241545894,0.4082125603864734,0.26570048309178745,1.7608695652173914,1.4951690821256038,1.422705314009662,0.16666666666666666
Felvidék,12,5,2,5,14,20,-6,17,0,0.4166666666666667,0.16666666666666666,0.4166666666666667,-0.5,1.1666666666666667,1.6666666666666667,1.4166666666666667,0.0
Sealand,12,4,5,3,27,30,-3,17,1,0.3333333333333333,0.4166666666666667,0.25,-0.25,2.25,2.5,1.4166666666666667,0.08333333333333333
Thailand,863,339,204,320,1388,1279,109,1221,115,0.3928157589803013,0.23638470451911936,0.3707995365005794,0.12630359212050984,1.608342989571263,1.482039397450753,1.4148319814600232,0.1332560834298957
Myanmar,510,209,90,211,814,840,-26,717,72,0.40980392156862744,0.17647058823529413,0.4137254901960784,-0.050980392156862744,1.5960784313725491,1.6470588235294117,1.4058823529411764,0.1411764705882353
Malaysia,835,327,192,316,1363,1211,152,1173,127,0.3916167664670659,0.22994011976047904,0.3784431137724551,0.18203592814371258,1.6323353293413174,1.4502994011976047,1.4047904191616767,0.15209580838323353
Jamaica,660,257,154,249,880,870,10,925,66,0.3893939393939394,0.23333333333333334,0.37727272727272726,0.015151515151515152,1.3333333333333333,1.3181818181818181,1.4015151515151516,0.1
Guinea,538,200,153,185,730,659,71,753,51,0.37174721189591076,0.2843866171003718,0.34386617100371747,0.13197026022304834,1.3568773234200744,1.224907063197026,1.399628252788104,0.09479553903345725
Jordan,479,178,134,167,613,533,80,668,59,0.37160751565762007,0.2797494780793319,0.348643006263048,0.16701461377870563,1.279749478079332,1.1127348643006263,1.394572025052192,0.12317327766179541
Oman,542,206,137,199,701,680,21,755,46,0.3800738007380074,0.25276752767527677,0.3671586715867159,0.03874538745387454,1.2933579335793357,1.2546125461254614,1.3929889298892988,0.08487084870848709
Åland Islands,51,21,8,22,77,86,-9,71,3,0.4117647058823529,0.1568627450980392,0.43137254901960786,-0.17647058823529413,1.5098039215686274,1.6862745098039216,1.392156862745098,0.058823529411764705
Kenya,705,268,175,262,977,957,20,979,54,0.3801418439716312,0.24822695035460993,0.37163120567375885,0.028368794326241134,1.3858156028368793,1.3574468085106384,1.3886524822695034,0.07659574468085106
Greece,631,240,154,237,792,875,-83,874,40,0.3803486529318542,0.24405705229793978,0.375594294770206,-0.13153724247226625,1.255150554675119,1.386687797147385,1.3851030110935023,0.06339144215530904
Saint Kitts and Nevis,226,90,42,94,387,372,15,312,36,0.39823008849557523,0.18584070796460178,0.415929203539823,0.06637168141592921,1.7123893805309736,1.6460176991150441,1.3805309734513274,0.1592920353982301
Matabeleland,8,3,2,3,7,14,-7,11,0,0.375,0.25,0.375,-0.875,0.875,1.75,1.375,0.0
Silesia,8,3,2,3,24,17,7,11,2,0.375,0.25,0.375,0.875,3.0,2.125,1.375,0.25
Cape Verde,233,88,56,89,255,262,-7,320,13,0.3776824034334764,0.24034334763948498,0.38197424892703863,-0.030042918454935622,1.094420600858369,1.1244635193133048,1.3733905579399142,0.055793991416309016
Curaçao,383,142,100,141,630,604,26,526,45,0.370757180156658,0.26109660574412535,0.3681462140992167,0.06788511749347259,1.6449086161879896,1.577023498694517,1.3733681462140992,0.1174934725848564
Angola,413,140,147,126,466,427,39,567,20,0.3389830508474576,0.3559322033898305,0.3050847457627119,0.09443099273607748,1.1283292978208233,1.0338983050847457,1.3728813559322033,0.048426150121065374
Canada,467,178,107,182,605,611,-6,641,47,0.3811563169164882,0.2291220556745182,0.3897216274089936,-0.01284796573875803,1.2955032119914347,1.3083511777301928,1.3725910064239828,0.1006423982869379
Tajikistan,199,77,42,80,295,276,19,273,34,0.3869346733668342,0.21105527638190955,0.4020100502512563,0.09547738693467336,1.4824120603015076,1.3869346733668342,1.3718592964824121,0.1708542713567839
